sim_day,date,year,month,day,jrr,savage,lsen,occ,pat,por_nat,below_por,lfalls_nat
1,2038-01-01,2038,1,1,179.8,47.0,6.0,138.7,43.0,1916.5,654.2,2470.2
2,2038-01-02,2038,1,2,173.0,41.0,5.0,133.4,43.0,2028.5,569.8,2470.3
3,2038-01-03,2038,1,3,169.0,36.0,5.0,122.0,41.0,1963.8,480.4,2436.6
4,2038-01-04,2038,1,4,176.0,47.0,5.0,115.0,39.8,1930.5,432.8,2332.3
5,2038-01-05,2038,1,5,238.0,57.0,5.0,105.0,38.0,1878.1,428.0,2263.1
6,2038-01-06,2038,1,6,304.0,66.0,4.0,94.8,36.9,1846.9,414.9,2253.0
7,2038-01-07,2038,1,7,413.6,97.0,6.0,85.8,36.0,1837.7,412.4,2223.1
8,2038-01-08,2038,1,8,2705.6,1150.0,15.0,8774.7,53.0,6889.2,17746.7,3650.1
9,2038-01-09,2038,1,9,1273.9,554.7,10.0,2366.2,50.0,26103.8,17907.3,23893.0
10,2038-01-10,2038,1,10,995.2,448.4,6.0,1267.5,43.0,51649.5,11763.1,54984.6
11,2038-01-11,2038,1,11,774.2,289.3,6.0,510.5,42.0,35828.1,3756.1,54996.5
12,2038-01-12,2038,1,12,567.4,192.0,5.0,309.8,37.9,20258.5,1523.4,44846.1
13,2038-01-13,2038,1,13,497.0,135.5,5.0,228.1,36.0,12999.2,1056.0,23252.9
14,2038-01-14,2038,1,14,454.6,119.0,5.0,205.2,36.0,8625.6,851.6,15763.9
15,2038-01-15,2038,1,15,418.6,109.0,14.0,208.8,51.0,7029.9,811.2,11941.2
16,2038-01-16,2038,1,16,441.0,100.0,37.3,8775.3,110.3,11473.2,13692.7,16956.6
17,2038-01-17,2038,1,17,422.6,97.0,20.0,950.1,80.0,11062.3,4105.6,16427.2
18,2038-01-18,2038,1,18,418.6,98.7,15.0,549.7,72.6,9594.7,2344.0,12064.4
19,2038-01-19,2038,1,19,394.0,97.0,11.0,388.1,65.0,8375.6,1707.9,10835.6
20,2038-01-20,2038,1,20,362.3,90.0,10.0,313.4,62.0,7243.5,1316.1,9412.8
21,2038-01-21,2038,1,21,338.0,88.0,9.0,265.5,59.0,6317.9,1214.2,8507.3
22,2038-01-22,2038,1,22,336.9,88.0,9.0,244.0,56.0,5540.1,1104.5,7575.4
23,2038-01-23,2038,1,23,392.7,104.0,95.2,988.0,313.2,5897.1,4137.4,9028.6
24,2038-01-24,2038,1,24,470.0,122.0,59.0,3064.5,313.2,8601.9,11223.8,15724.3
25,2038-01-25,2038,1,25,444.1,119.0,37.3,3362.4,185.1,11124.4,6810.7,19600.0
26,2038-01-26,2038,1,26,396.0,104.0,22.0,1520.0,126.3,14375.5,4218.8,19062.4
27,2038-01-27,2038,1,27,377.7,100.0,22.2,934.6,109.3,14287.9,2974.8,17968.3
28,2038-01-28,2038,1,28,599.0,166.0,214.1,7887.5,1215.0,16553.7,11856.3,25835.7
29,2038-01-29,2038,1,29,907.4,292.6,154.2,14586.4,1178.2,34483.0,17380.8,40242.0
30,2038-01-30,2038,1,30,946.3,346.0,63.0,4500.1,336.4,60152.3,10812.1,52634.6
31,2038-01-31,2038,1,31,839.0,263.7,34.0,1467.6,220.7,44894.1,4103.4,52604.8
32,2038-02-01,2038,2,1,650.1,203.5,30.0,1003.2,164.1,35333.7,2977.0,49665.7
33,2038-02-02,2038,2,2,533.8,153.4,22.0,673.4,145.4,25433.6,2317.9,39085.2
34,2038-02-03,2038,2,3,441.5,126.3,21.0,634.0,133.2,15430.5,2053.7,26104.5
35,2038-02-04,2038,2,4,579.1,152.2,182.0,1385.8,777.2,14032.2,3386.9,22050.2
36,2038-02-05,2038,2,5,701.1,245.0,227.2,21274.6,1678.1,59178.4,29506.0,52466.7
37,2038-02-06,2038,2,6,677.5,209.2,76.1,5065.7,793.9,102334.6,14312.2,92167.0
38,2038-02-07,2038,2,7,592.4,185.8,46.0,1628.5,282.3,90937.1,4183.9,102951.7
39,2038-02-08,2038,2,8,436.3,127.6,30.0,952.7,181.3,36926.6,2905.7,75486.3
40,2038-02-09,2038,2,9,418.7,120.0,24.1,631.6,155.0,27129.3,2145.5,49657.3
41,2038-02-10,2038,2,10,479.3,145.9,21.0,567.8,141.0,17385.8,1849.6,27472.1
42,2038-02-11,2038,2,11,874.2,319.2,21.0,516.3,137.0,13390.0,1761.4,19202.0
43,2038-02-12,2038,2,12,1589.3,522.2,30.1,1005.2,195.1,12178.2,3012.4,15397.2
44,2038-02-13,2038,2,13,901.6,375.2,21.0,803.1,147.0,14112.8,2756.7,15041.8
45,2038-02-14,2038,2,14,709.0,249.0,21.0,587.9,136.0,15269.0,1938.5,17446.6
46,2038-02-15,2038,2,15,574.0,191.0,19.0,486.7,130.0,14117.5,1577.0,17446.9
47,2038-02-16,2038,2,16,541.2,189.0,18.0,468.0,125.3,12200.6,1495.0,15483.1
