sim_day,date,year,month,day,jrr,savage,lsen,occ,pat,por_nat,below_por,lfalls_nat,
1,1929-10-01,1929,10,1,287.24,7.67,9.18,86.44,42.32,609.94,1103.86,1729,1729
2,1929-10-02,1929,10,2,287.24,485.66,114.76,1290.96,409.78,5754.9,4077.88,9954,9954
3,1929-10-03,1929,10,3,287.24,613.72,12.46,1346.23,281.47,24563.93,16431,17041,17041
4,1929-10-04,1929,10,4,287.24,336.37,8.85,250.31,64.49,31175.19,2121.09,7876,7876
5,1929-10-05,1929,10,5,287.24,212.44,7.21,136.1,51.05,14559.51,2016.53,26580,26580
6,1929-10-06,1929,10,6,287.24,126.28,5.9,86.44,42.99,8247.13,2404.9,33580,33580
7,1929-10-07,1929,10,7,287.24,83.8,5.9,61.81,38.96,5859.46,1030.67,15590,15590
8,1929-10-08,1929,10,8,287.24,61.37,5.57,62.57,36.95,4093.72,663.22,8910,8910
9,1929-10-09,1929,10,9,287.24,46.03,5.57,50,33.59,3208.72,696.08,6556,6393
10,1929-10-10,1929,10,10,287.24,37.77,5.25,44.9,32.92,2362.35,633.34,4727,4605
11,1929-10-11,1929,10,11,287.24,31.87,5.25,41.44,32.24,2130.27,601.97,3811,3701
12,1929-10-12,1929,10,12,287.24,28.33,4.92,39.39,31.57,1937.27,572.1,2934,3026
13,1929-10-13,1929,10,13,287.24,25.37,4.92,35.55,31.57,2111.95,572.1,2702,2865
14,1929-10-14,1929,10,14,287.24,22.42,4.92,39.39,30.9,2071.82,601.97,2539,2623
15,1929-10-15,1929,10,15,287.24,22.42,4.92,36.29,31.57,1484.57,601.97,2714,2764
16,1929-10-16,1929,10,16,287.24,21.24,4.92,35.55,30.9,1390.04,513.84,2586,2612
17,1929-10-17,1929,10,17,287.24,34.23,4.92,27.7,30.9,1322.32,458.57,1943,1958
18,1929-10-18,1929,10,18,287.24,26.56,4.59,28.28,28.89,1153.71,406.29,1796,1806
19,1929-10-19,1929,10,19,287.24,22.42,4.59,30.73,28.89,1125.53,340.57,1663,1669
20,1929-10-20,1929,10,20,287.24,20.06,4.59,27.7,29.56,1128.68,219.58,1373,1377
21,1929-10-21,1929,10,21,287.24,18.88,4.92,27.13,30.23,1162.96,253.93,1379,1383
