74	99	139	153	168	204	227	275	342	379	438	538	595	674
130	138	169	179	211	269	299	347	417	492	531	591	685	739
230	264	353	355	379	427	447	487	541	610	688	778	866	979
156	208	239	251	279	302	336	386	457	532	563	628	687	762
113	125	143	144	153	165	199	253	299	394	453	494	566	657
45	52	57	60	64	74	87	118	146	185	234	285	365	405
21	26	28	35	42	47	57	64	78	110	136	203	231	362
19	22	27	30	34	38	42	49	67	93	111	140	181	275
15	19	21	21	23	30	32	41	48	63	78	95	139	260
16	19	24	25	28	33	44	56	70	78	102	138	201	293
23	31	44	58	63	76	92	113	144	171	198	258	308	402
48	68	86	100	118	158	175	256	301	342	391	436	548	598
