date,d_total,d_fw_e,d_fw_w,d_fw_c,d_lw,d_wssc,d_wa
1929-10-01,594.0,91.0,89.0,21.0,32.4,186.0,174.0
1929-10-02,579.0,88.0,87.0,21.0,31.6,182.0,170.0
1929-10-03,585.0,90.0,89.0,21.0,32.5,186.0,166.0
1929-10-04,562.0,88.0,86.0,20.0,30.8,181.0,156.0
1929-10-05,578.0,90.0,88.0,21.0,31.9,185.0,162.0
1929-10-06,561.0,86.0,84.0,20.0,31.4,177.0,163.0
1929-10-07,580.0,88.0,87.0,20.0,31.3,184.0,169.0
1929-10-08,538.0,81.0,80.0,19.0,28.4,172.0,157.0
1929-10-09,527.0,80.0,79.0,19.0,28.2,167.0,153.0
1929-10-10,515.0,80.0,79.0,19.0,28.6,164.0,146.0
1929-10-11,537.0,84.0,83.0,20.0,29.7,174.0,147.0
1929-10-12,550.0,85.0,84.0,20.0,30.1,176.0,155.0
1929-10-13,545.0,83.0,82.0,19.0,30.5,172.0,158.0
1929-10-14,561.0,86.0,84.0,20.0,31.1,177.0,163.0
1929-10-15,573.0,88.0,86.0,20.0,31.8,181.0,166.0
1929-10-16,583.0,89.0,88.0,21.0,32.2,184.0,169.0
1929-10-17,584.0,90.0,89.0,21.0,32.6,186.0,165.0
1929-10-18,591.0,92.0,91.0,22.0,32.7,191.0,163.0
1929-10-19,603.0,93.0,91.0,22.0,32.6,192.0,172.0
1929-10-20,589.0,89.0,88.0,21.0,32.6,186.0,172.0
1929-10-21,574.0,88.0,87.0,20.0,31.6,180.0,168.0
1929-10-22,567.0,87.0,85.0,20.0,31.3,179.0,165.0
1929-10-23,584.0,89.0,88.0,21.0,32.5,185.0,168.0
1929-10-24,583.0,91.0,89.0,21.0,32.8,186.0,163.0
1929-10-25,604.0,94.0,93.0,22.0,33.2,195.0,167.0
1929-10-26,617.0,95.0,94.0,22.0,33.5,197.0,175.0
1929-10-27,587.0,89.0,88.0,21.0,32.3,185.0,172.0
1929-10-28,579.0,89.0,88.0,21.0,32.2,182.0,167.0
1929-10-29,585.0,89.0,88.0,21.0,32.2,184.0,171.0
1929-10-30,574.0,88.0,87.0,21.0,31.9,180.0,166.0
1929-10-31,546.0,85.0,84.0,20.0,30.8,173.0,154.0
1929-11-01,507.0,78.0,77.0,18.0,26.1,168.0,140.0
1929-11-02,509.0,77.0,76.0,18.0,25.8,167.0,145.0
1929-11-03,508.0,76.0,75.0,18.0,26.6,168.0,144.0
1929-11-04,484.0,74.0,73.0,17.0,25.6,160.0,134.0
1929-11-05,511.0,77.0,76.0,18.0,26.7,169.0,145.0
1929-11-06,517.0,78.0,77.0,18.0,27.0,170.0,146.0
1929-11-07,515.0,79.0,78.0,18.0,27.3,172.0,141.0
1929-11-08,517.0,79.0,78.0,18.0,26.7,174.0,140.0
1929-11-09,533.0,81.0,80.0,19.0,27.5,178.0,147.0
1929-11-10,517.0,78.0,76.0,18.0,27.2,170.0,149.0
1929-11-11,495.0,77.0,76.0,18.0,26.6,157.0,141.0
1929-11-12,495.0,77.0,76.0,18.0,26.2,156.0,143.0
1929-11-13,482.0,75.0,73.0,17.0,25.8,153.0,138.0
1929-11-14,484.0,76.0,75.0,18.0,26.2,157.0,133.0
1929-11-15,516.0,81.0,80.0,19.0,27.2,170.0,140.0
1929-11-16,519.0,80.0,79.0,19.0,26.7,169.0,146.0
1929-11-17,483.0,73.0,72.0,17.0,25.7,155.0,139.0
1929-11-18,495.0,75.0,74.0,17.0,25.7,159.0,145.0
1929-11-19,516.0,78.0,77.0,18.0,27.0,167.0,149.0
1929-11-20,521.0,79.0,78.0,18.0,27.3,168.0,150.0
1929-11-21,509.0,77.0,76.0,18.0,26.3,166.0,146.0
1929-11-22,514.0,79.0,78.0,18.0,26.6,171.0,141.0
1929-11-23,518.0,79.0,78.0,18.0,26.8,171.0,145.0
1929-11-24,503.0,75.0,74.0,17.0,26.2,163.0,148.0
1929-11-25,507.0,75.0,73.0,17.0,25.0,166.0,150.0
1929-11-26,482.0,71.0,70.0,17.0,24.3,159.0,140.0
1929-11-27,461.0,69.0,68.0,16.0,23.5,150.0,134.0
1929-11-28,460.0,70.0,69.0,16.0,24.1,152.0,129.0
1929-11-29,462.0,72.0,71.0,17.0,24.2,154.0,125.0
1929-11-30,475.0,72.0,71.0,17.0,24.2,156.0,135.0
1929-12-01,463.0,70.0,69.0,16.0,22.7,154.0,132.0
1929-12-02,460.0,69.0,68.0,16.0,22.5,153.0,131.0
1929-12-03,471.0,71.0,70.0,16.0,23.0,156.0,134.0
1929-12-04,461.0,69.0,68.0,16.0,22.5,153.0,131.0
1929-12-05,474.0,71.0,70.0,17.0,23.2,158.0,135.0
1929-12-06,482.0,72.0,71.0,17.0,23.5,160.0,138.0
1929-12-07,467.0,70.0,69.0,16.0,22.9,155.0,133.0
1929-12-08,494.0,74.0,73.0,17.0,24.1,164.0,141.0
1929-12-09,499.0,75.0,74.0,17.0,24.3,166.0,143.0
1929-12-10,480.0,72.0,71.0,17.0,23.4,160.0,137.0
1929-12-11,479.0,72.0,71.0,17.0,23.4,159.0,137.0
1929-12-12,472.0,71.0,70.0,17.0,23.1,157.0,135.0
1929-12-13,466.0,70.0,69.0,16.0,22.8,155.0,133.0
1929-12-14,479.0,72.0,71.0,17.0,23.4,159.0,137.0
1929-12-15,501.0,75.0,74.0,17.0,24.4,167.0,144.0
1929-12-16,501.0,75.0,74.0,17.0,24.4,167.0,143.0
1929-12-17,494.0,74.0,73.0,17.0,24.1,164.0,141.0
1929-12-18,525.0,78.0,77.0,18.0,25.6,175.0,151.0
1929-12-19,495.0,74.0,73.0,17.0,24.1,165.0,142.0
1929-12-20,510.0,76.0,75.0,18.0,24.8,170.0,146.0
1929-12-21,515.0,77.0,76.0,18.0,25.1,172.0,148.0
1929-12-22,508.0,76.0,75.0,18.0,24.8,169.0,146.0
1929-12-23,500.0,75.0,74.0,17.0,24.4,167.0,143.0
1929-12-24,503.0,75.0,74.0,18.0,24.5,167.0,144.0
1929-12-25,503.0,75.0,74.0,18.0,24.5,167.0,144.0
1929-12-26,500.0,75.0,74.0,17.0,24.4,167.0,143.0
1929-12-27,495.0,74.0,73.0,17.0,24.1,165.0,141.0
1929-12-28,486.0,73.0,72.0,17.0,23.7,162.0,139.0
1929-12-29,501.0,75.0,74.0,17.0,24.4,167.0,143.0
1929-12-30,506.0,76.0,75.0,18.0,24.7,168.0,145.0
1929-12-31,508.0,76.0,75.0,18.0,24.7,169.0,145.0
1930-01-01,516.0,76.0,75.0,18.0,24.7,172.0,150.0
1930-01-02,519.0,77.0,75.0,18.0,24.8,173.0,151.0
1930-01-03,504.0,74.0,73.0,17.0,24.1,168.0,147.0
1930-01-04,494.0,73.0,72.0,17.0,23.6,165.0,144.0
1930-01-05,492.0,73.0,72.0,17.0,23.5,164.0,143.0
1930-01-06,471.0,70.0,69.0,16.0,22.6,157.0,137.0
1930-01-07,480.0,71.0,70.0,17.0,23.0,160.0,139.0
1930-01-08,492.0,73.0,72.0,17.0,23.6,164.0,143.0
1930-01-09,463.0,69.0,68.0,16.0,22.2,154.0,134.0
1930-01-10,469.0,70.0,69.0,16.0,22.5,156.0,136.0
1930-01-11,465.0,69.0,68.0,16.0,22.3,155.0,135.0
1930-01-12,465.0,69.0,68.0,16.0,22.3,155.0,135.0
1930-01-13,456.0,68.0,67.0,16.0,21.9,152.0,132.0
1930-01-14,471.0,70.0,69.0,16.0,22.5,157.0,136.0
1930-01-15,483.0,72.0,70.0,17.0,23.1,161.0,140.0
1930-01-16,477.0,71.0,70.0,16.0,22.8,159.0,138.0
1930-01-17,507.0,75.0,74.0,17.0,24.3,169.0,148.0
1930-01-18,510.0,75.0,74.0,18.0,24.4,170.0,148.0
1930-01-19,504.0,74.0,73.0,17.0,24.1,168.0,147.0
1930-01-20,504.0,74.0,73.0,17.0,24.1,168.0,147.0
1930-01-21,506.0,75.0,74.0,17.0,24.2,169.0,147.0
1930-01-22,520.0,77.0,75.0,18.0,24.8,173.0,151.0
1930-01-23,495.0,73.0,72.0,17.0,23.7,165.0,144.0
1930-01-24,511.0,75.0,74.0,18.0,24.4,170.0,149.0
1930-01-25,511.0,75.0,74.0,18.0,24.4,170.0,149.0
1930-01-26,511.0,75.0,74.0,18.0,24.4,170.0,149.0
1930-01-27,498.0,74.0,73.0,17.0,23.8,166.0,145.0
1930-01-28,500.0,74.0,73.0,17.0,23.9,167.0,145.0
1930-01-29,509.0,75.0,74.0,17.0,24.3,170.0,148.0
1930-01-30,499.0,74.0,73.0,17.0,23.9,167.0,145.0
1930-01-31,489.0,72.0,71.0,17.0,23.4,163.0,142.0
1930-02-01,486.0,71.0,70.0,17.0,23.7,163.0,143.0
1930-02-02,481.0,70.0,69.0,16.0,23.4,161.0,141.0
1930-02-03,459.0,67.0,66.0,16.0,22.4,154.0,134.0
