date,p_percent_normal,,
1998-10-01,0.12,,
1998-10-02,0.06,,
1998-10-03,0.04,,
1998-10-04,0.19,,
1998-10-05,0.23,,
1998-10-06,0.20,,
1998-10-07,0.17,,
1998-10-08,0.54,,
1998-10-09,0.62,,
1998-10-10,0.56,,
1998-10-11,0.51,,
1998-10-12,0.47,,
1998-10-13,0.43,,
1998-10-14,0.40,,
1998-10-15,0.37,,
1998-10-16,0.35,,
1998-10-17,0.33,,
1998-10-18,0.31,,
1998-10-19,0.30,,
1998-10-20,0.28,,
1998-10-21,0.27,,
1998-10-22,0.27,,
1998-10-23,0.25,,
1998-10-24,0.24,,
1998-10-25,0.23,,
1998-10-26,0.23,,
1998-10-27,0.22,,
1998-10-28,0.21,,
1998-10-29,0.20,,
1998-10-30,0.20,,
1998-10-31,0.19,,
1998-11-01,0.19,,
1998-11-02,0.18,,
1998-11-03,0.22,,
1998-11-04,0.25,,
1998-11-05,0.24,,
1998-11-06,0.23,,
1998-11-07,0.23,,
1998-11-08,0.22,,
1998-11-09,0.22,,
1998-11-10,0.22,,
1998-11-11,0.25,,
1998-11-12,0.24,,
1998-11-13,0.24,,
1998-11-14,0.23,,
1998-11-15,0.23,,
1998-11-16,0.22,,
1998-11-17,0.22,,
1998-11-18,0.21,,
1998-11-19,0.21,,
1998-11-20,0.20,,
1998-11-21,0.21,,
1998-11-22,0.20,,
1998-11-23,0.20,,
1998-11-24,0.19,,
1998-11-25,0.19,,
1998-11-26,0.20,,
1998-11-27,0.20,,
1998-11-28,0.20,,
1998-11-29,0.19,,
1998-11-30,0.19,,
1998-12-01,0.19,,
1998-12-02,0.18,,
1998-12-03,0.18,,
1998-12-04,0.18,,
1998-12-05,0.18,,
1998-12-06,0.17,,
1998-12-07,0.17,,
1998-12-08,0.18,,
1998-12-09,0.28,,
1998-12-10,0.28,,
1998-12-11,0.27,,
1998-12-12,0.27,,
1998-12-13,0.30,,
1998-12-14,0.32,,
1998-12-15,0.31,,
1998-12-16,0.31,,
1998-12-17,0.30,,
1998-12-18,0.30,,
1998-12-19,0.30,,
1998-12-20,0.29,,
1998-12-21,0.29,,
1998-12-22,0.29,,
1998-12-23,0.29,,
1998-12-24,0.29,,
1998-12-25,0.29,,
1998-12-26,0.29,,
