sim_day,date,year,month,day,jrr,savage,lsen,occ,pat,por_nat,below_por,lfalls_nat
1,2038-01-01,2038,1,1,234.2,63.1,5.0,172.6,40.0,2860.6,736.1,3344.2
2,2038-01-02,2038,1,2,211.3,57.0,5.0,152.0,39.8,3001.1,597.5,3462.0
3,2038-01-03,2038,1,3,200.4,55.0,5.0,139.7,38.0,2992.5,480.4,3487.6
4,2038-01-04,2038,1,4,229.0,61.0,5.0,133.2,37.0,2893.4,427.9,3439.6
5,2038-01-05,2038,1,5,330.0,84.0,5.0,119.7,35.9,2786.0,407.6,3290.7
6,2038-01-06,2038,1,6,391.3,104.0,4.0,107.8,34.0,2698.2,389.5,3076.2
7,2038-01-07,2038,1,7,492.4,133.2,5.0,101.0,34.0,2655.7,381.4,3013.8
8,2038-01-08,2038,1,8,3051.0,1308.0,15.0,8774.7,50.0,7351.8,12966.2,4968.3
9,2038-01-09,2038,1,9,1426.2,789.4,10.0,2366.2,45.8,34246.1,17747.0,23893.0
10,2038-01-10,2038,1,10,998.1,478.2,6.0,1254.0,40.9,67563.7,11223.3,54984.6
11,2038-01-11,2038,1,11,790.0,319.0,5.0,508.5,37.0,48994.1,3522.3,60320.4
12,2038-01-12,2038,1,12,595.8,216.3,5.0,314.0,34.0,20719.2,1382.4,49823.3
13,2038-01-13,2038,1,13,533.4,149.9,4.0,236.5,34.0,13229.7,972.6,23838.2
14,2038-01-14,2038,1,14,494.3,127.0,4.0,212.6,33.0,8935.8,773.0,17049.6
15,2038-01-15,2038,1,15,448.6,116.3,13.0,213.0,47.0,7554.6,703.7,12510.2
16,2038-01-16,2038,1,16,486.0,111.0,33.0,8775.3,91.0,11957.8,12850.0,15724.3
17,2038-01-17,2038,1,17,444.4,109.0,18.0,942.6,65.7,11715.8,3893.3,15578.7
18,2038-01-18,2038,1,18,441.6,111.0,13.0,543.5,61.0,11021.9,2187.5,12253.1
19,2038-01-19,2038,1,19,427.8,108.0,9.0,379.4,55.0,9030.8,1459.7,11199.3
20,2038-01-20,2038,1,20,396.0,104.0,9.0,295.4,53.0,8105.0,1209.9,10261.8
21,2038-01-21,2038,1,21,375.0,98.0,8.0,262.0,51.0,6746.5,1088.5,8811.9
22,2038-01-22,2038,1,22,357.0,97.4,7.0,230.5,50.0,6129.6,1012.5,8121.3
23,2038-01-23,2038,1,23,424.6,113.9,89.1,934.6,229.1,6352.2,3523.8,9108.8
24,2038-01-24,2038,1,24,574.7,187.0,48.0,2951.4,235.0,9469.6,7686.4,14425.7
25,2038-01-25,2038,1,25,563.0,164.4,30.0,3211.4,136.0,12670.1,6276.4,18025.2
26,2038-01-26,2038,1,26,456.5,126.0,18.0,1520.0,100.0,15321.6,4184.7,19062.4
27,2038-01-27,2038,1,27,433.6,119.0,20.0,889.0,91.0,14987.6,2783.6,18282.0
28,2038-01-28,2038,1,28,751.9,250.1,182.2,7887.5,1178.2,16985.5,10892.3,25835.7
29,2038-01-29,2038,1,29,1181.6,372.7,154.2,14586.4,794.0,34766.9,17380.8,39304.6
30,2038-01-30,2038,1,30,1104.0,362.6,47.1,4000.9,295.0,60152.3,8197.8,52634.6
31,2038-01-31,2038,1,31,850.1,321.6,31.0,1425.8,180.1,46707.8,4039.5,66208.6
32,2038-02-01,2038,2,1,677.5,231.0,24.0,985.3,140.2,36614.7,2783.1,49665.7
33,2038-02-02,2038,2,2,574.7,171.9,21.0,661.5,122.2,25581.7,2154.4,39085.2
34,2038-02-03,2038,2,3,488.9,147.5,19.0,617.2,112.3,15604.3,1921.1,26104.5
