sim_day,date,year,month,day,jrr,savage,lsen,occ,pat,por_nat,below_por,lfalls_nat
1,2038-10-01,2038,10,1,54,6,1,3,4,534,106,639
2,2038-10-02,2038,10,2,51,5,1,4,4,555,106,593
3,2038-10-03,2038,10,3,47,5,1,4,5,555,105,590
4,2038-10-04,2038,10,4,47,5,1,4,5,550,116,611
5,2038-10-05,2038,10,5,49,6,1,4,6,623,115,636
6,2038-10-06,2038,10,6,47,5,1,4,6,614,112,670
7,2038-10-07,2038,10,7,45,5,1,4,6,623,109,687
8,2038-10-08,2038,10,8,43,5,15,14,27,641,131,892
9,2038-10-09,2038,10,9,43,5,6,29,21,710,207,915
10,2038-10-10,2038,10,10,45,5,3,38,13,710,178,920
11,2038-10-11,2038,10,11,45,5,2,26,11,701,149,893
12,2038-10-12,2038,10,12,45,5,2,19,10,680,133,886
13,2038-10-13,2038,10,13,43,5,2,11,8,654,125,873
14,2038-10-14,2038,10,14,43,5,2,9,8,635,118,855
15,2038-10-15,2038,10,15,41,4,2,7,8,615,116,842
16,2038-10-16,2038,10,16,40,4,2,4,8,538,110,805
17,2038-10-17,2038,10,17,39,4,2,2,8,518,107,738
18,2038-10-18,2038,10,18,38,4,2,2,8,507,106,738
19,2038-10-19,2038,10,19,36,4,2,2,8,503,104,585
20,2038-10-20,2038,10,20,34,4,2,2,10,498,97,566
21,2038-10-21,2038,10,21,30,4,2,4,10,483,97,552
22,2038-10-22,2038,10,22,36,4,2,4,10,478,96,553
23,2038-10-23,2038,10,23,38,4,2,4,5,480,94,546
24,2038-10-24,2038,10,24,36,4,2,2,5,477,94,542
25,2038-10-25,2038,10,25,30,3,2,2,5,481,94,538
26,2038-10-26,2038,10,26,28,3,2,3,6,473,93,536
27,2038-10-27,2038,10,27,26,3,2,3,6,462,93,530
28,2038-10-28,2038,10,28,26,3,2,3,6,449,93,533
29,2038-10-29,2038,10,29,24,3,2,4,6,444,92,535
30,2038-10-30,2038,10,30,24,3,2,4,6,436,92,525
31,2038-10-31,2038,10,31,24,3,2,4,7,436,72,518
32,2038-11-01,2038,11,1,24,3,2,4,7,435,70,506
33,2038-11-02,2038,11,2,24,3,2,11,4,430,68,504
34,2038-11-03,2038,11,3,24,3,2,15,4,426,66,503
35,2038-11-04,2038,11,4,28,3,2,44,4,424,68,504
