date_time,gw_va_shen,p_va_shen,sw_va_shen,r_va_shen,gw_va_nova,p_va_nova,sw_va_nova,r_va_nova,gw_md_cent,p_md_cent,sw_md_cent,r_md_cent,gw_md_west,p_md_west,sw_md_west,r_md_west,region_md_cent,region_md_west
2038-01-01,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0
2038-01-02,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0
2038-01-03,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0
2038-01-04,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0
2038-01-05,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0
2038-01-06,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0
2038-01-07,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0
2038-01-08,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0
2038-01-09,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0
2038-01-10,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0
2038-01-11,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0
2038-01-12,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0
2038-01-13,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0
2038-01-14,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0
2038-01-15,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0
2038-01-16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
2038-01-17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
2038-01-18,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
2038-01-19,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
2038-01-20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
2038-01-21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
2038-01-22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2038-01-23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2038-01-24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2038-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2038-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2038-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2038-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2038-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2038-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2038-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2038-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
