date,d_total,d_fw_e,d_fw_w,d_fw_c,d_lw,d_wssc,d_wa,
2038-01-01,516,76,75,18,24.7,172,150,
2038-01-02,519,77,75,18,24.8,173,151,
2038-01-03,504,74,73,17,24.1,168,147,
2038-01-04,494,73,72,17,23.6,165,144,
2038-01-05,492,73,72,17,23.5,164,143,
2038-01-06,471,70,69,16,22.6,157,137,
2038-01-07,480,71,70,17,23,160,139,
2038-01-08,492,73,72,17,23.6,164,143,
2038-01-09,463,69,68,16,22.2,154,134,
2038-01-10,469,70,69,16,22.5,156,136,
2038-01-11,465,69,68,16,22.3,155,135,
2038-01-12,465,69,68,16,22.3,155,135,
2038-01-13,456,68,67,16,21.9,152,132,
2038-01-14,471,70,69,16,22.5,157,136,
2038-01-15,483,72,70,17,23.1,161,140,
2038-01-16,477,71,70,16,22.8,159,138,
2038-01-17,507,75,74,17,24.3,169,148,
2038-01-18,510,75,74,18,24.4,170,148,
2038-01-19,504,74,73,17,24.1,168,147,
2038-01-20,504,74,73,17,24.1,168,147,
2038-01-21,506,75,74,17,24.2,169,147,
2038-01-22,520,77,75,18,24.8,173,151,
2038-01-23,495,73,72,17,23.7,165,144,
2038-01-24,511,75,74,18,24.4,170,149,
2038-01-25,511,75,74,18,24.4,170,149,
2038-01-26,511,75,74,18,24.4,170,149,
2038-01-27,498,74,73,17,23.8,166,145,
2038-01-28,500,74,73,17,23.9,167,145,
2038-01-29,509,75,74,17,24.3,170,148,
2038-01-30,499,74,73,17,23.9,167,145,
2038-01-31,489,72,71,17,23.4,163,142,
2038-02-01,486,71,70,17,23.7,163,143,
2038-02-02,481,70,69,16,23.4,161,141,
2038-02-03,459,67,66,16,22.4,154,134,
2038-02-04,479,70,69,16,23.3,160,140,
2038-02-05,482,70,69,16,23.5,161,141,
2038-02-06,484,71,70,16,23.6,162,142,
2038-02-07,476,70,69,16,23.2,159,139,
2038-02-08,474,69,68,16,23.1,158,139,
2038-02-09,479,70,69,16,23.3,160,140,
2038-02-10,478,70,69,16,23.2,160,140,
2038-02-11,482,70,69,16,23.5,161,141,
2038-02-12,463,68,67,16,22.6,155,135,
2038-02-13,470,69,68,16,22.9,157,137,
2038-02-14,463,68,67,16,22.6,155,135,
2038-02-15,462,68,67,16,22.5,154,135,
2038-02-16,451,66,65,15,22,151,132,
2038-02-17,481,70,69,16,23.4,161,141,
2038-02-18,475,69,68,16,23.1,159,139,
2038-02-19,465,68,67,16,22.6,155,136,
2038-02-20,461,67,66,16,22.5,154,135,
2038-02-21,458,67,66,16,22.3,153,134,
2038-02-22,471,69,68,16,22.9,158,138,
2038-02-23,477,70,69,16,23.2,160,140,
2038-02-24,472,69,68,16,23,158,138,
2038-02-25,478,70,69,16,23.3,160,140,
2038-02-26,505,74,72,17,24.6,169,148,
2038-02-27,512,75,73,17,24.9,172,150,
2038-02-28,496,72,71,17,24.1,166,145,
2038-03-01,474,70,69,16,23.4,162,133,
2038-03-02,471,68,67,16,24,158,137,
2038-03-03,458,66,65,15,22.6,155,133,
2038-03-04,451,66,65,15,22.3,150,131,
2038-03-05,457,67,66,16,23.4,151,134,
2038-03-06,446,67,66,16,22.6,150,126,
2038-03-07,473,72,71,17,23.7,161,129,
2038-03-08,475,70,69,16,24.2,160,135,
2038-03-09,461,65,64,15,22.6,159,135,
2038-03-10,443,65,64,15,22.6,151,126,
2038-03-11,451,66,66,15,23.3,150,130,
2038-03-12,477,70,69,16,24.4,161,137,
2038-03-13,468,69,68,16,23.7,159,131,
2038-03-14,461,69,68,16,22.5,160,126,
2038-03-15,449,67,66,16,23,153,124,
2038-03-16,448,67,66,16,24,149,127,
2038-03-17,501,74,73,17,26.4,166,144,
2038-03-18,505,75,74,17,26.2,166,147,
2038-03-19,524,76,75,18,26.5,174,154,
2038-03-20,504,73,72,17,24.3,172,145,
2038-03-21,474,70,69,16,22.8,165,131,
2038-03-22,481,71,70,17,24.3,164,134,
2038-03-23,491,71,70,17,25.1,164,143,
