date,flow_cfs
1998-10-01,34
1998-10-02,32
1998-10-03,30
1998-10-04,29
1998-10-05,28
1998-10-06,27
1998-10-07,25
1998-10-08,25
1998-10-09,25
1998-10-10,25
1998-10-11,25
1998-10-12,25
1998-10-13,25
1998-10-14,25
1998-10-15,25
1998-10-16,25
1998-10-17,25
1998-10-18,25
1998-10-19,25
1998-10-20,25
1998-10-21,25
1998-10-22,25
1998-10-23,25
1998-10-24,25
1998-10-25,25
1998-10-26,25
1998-10-27,25
1998-10-28,25
1998-10-29,25
1998-10-30,25
1998-10-31,25
1998-11-01,25
1998-11-02,25
1998-11-03,25
1998-11-04,25
1998-11-05,25
1998-11-06,27
1998-11-07,27
1998-11-08,27
1998-11-09,27
1998-11-10,27
1998-11-11,27
1998-11-12,27
1998-11-13,27
1998-11-14,27
1998-11-15,27
1998-11-16,27
1998-11-17,27
1998-11-18,27
1998-11-19,27
1998-11-20,25
1998-11-21,24
1998-11-22,23
1998-11-23,23
1998-11-24,23
1998-11-25,23
1998-11-26,23
1998-11-27,23
1998-11-28,23
1998-11-29,23
1998-11-30,22
1998-12-01,19
1998-12-02,15
1998-12-03,14
1998-12-04,11
1998-12-05,10
1998-12-06,9
1998-12-07,8
1998-12-08,8
1998-12-09,8
1998-12-10,8
1998-12-11,8
1998-12-12,8
1998-12-13,8
1998-12-14,8
1998-12-15,8
1998-12-16,8
1998-12-17,8
1998-12-18,8
1998-12-19,8
1998-12-20,8
1998-12-21,8
1998-12-22,8
1998-12-23,8
1998-12-24,8
1998-12-25,8
1998-12-26,8
1998-12-27,8
1998-12-28,8
1998-12-29,8
1998-12-30,8
1998-12-31,8
1999-01-01,8
1999-01-02,8
1999-01-03,8
1999-01-04,8
1999-01-05,8
1999-01-06,8
1999-01-07,27
1999-01-08,27
1999-01-09,27
1999-01-10,27
1999-01-11,27
1999-01-12,27
1999-01-13,27
1999-01-14,27
1999-01-15,27
1999-01-16,27
1999-01-17,27
1999-01-18,27
1999-01-19,27
1999-01-20,27
1999-01-21,27
1999-01-22,27
1999-01-23,27
1999-01-24,27
1999-01-25,27
1999-01-26,27
1999-01-27,29
1999-01-28,31
1999-01-29,32
1999-01-30,32
1999-01-31,32
1999-02-01,49
1999-02-02,78
1999-02-03,78
1999-02-04,78
1999-02-05,78
1999-02-06,79
1999-02-07,97
1999-02-08,103
1999-02-09,110
1999-02-10,115
1999-02-11,130
1999-02-12,135
1999-02-13,135
1999-02-14,135
1999-02-15,135
1999-02-16,151
1999-02-17,131
1999-02-18,131
1999-02-19,131
1999-02-20,131
1999-02-21,131
1999-02-22,131
1999-02-23,131
1999-02-24,131
1999-02-25,131
1999-02-26,131
1999-02-27,131
1999-02-28,131
1999-03-01,131
1999-03-02,131
1999-03-03,131
1999-03-04,131
1999-03-05,131
1999-03-06,131
1999-03-07,131
1999-03-08,131
1999-03-09,131
1999-03-10,131
1999-03-11,131
1999-03-12,131
1999-03-13,131
1999-03-14,131
1999-03-15,131
1999-03-16,131
1999-03-17,131
1999-03-18,131
1999-03-19,131
1999-03-20,131
1999-03-21,131
1999-03-22,131
1999-03-23,131
1999-03-24,131
1999-03-25,131
1999-03-26,131
1999-03-27,154
1999-03-28,156
1999-03-29,160
1999-03-30,160
1999-03-31,169
1999-04-01,171
1999-04-02,174
1999-04-03,174
1999-04-04,174
1999-04-05,174
1999-04-06,174
1999-04-07,174
1999-04-08,174
1999-04-09,174
1999-04-10,175
1999-04-11,214
1999-04-12,255
1999-04-13,255
1999-04-14,253
1999-04-15,248
1999-04-16,238
1999-04-17,235
1999-04-18,233
1999-04-19,231
1999-04-20,226
1999-04-21,216
1999-04-22,215
1999-04-23,210
1999-04-24,208
1999-04-25,207
1999-04-26,195
1999-04-27,187
1999-04-28,185
1999-04-29,185
1999-04-30,183
1999-05-01,161
1999-05-02,155
1999-05-03,149
1999-05-04,144
1999-05-05,136
1999-05-06,128
1999-05-07,121
1999-05-08,121
1999-05-09,121
1999-05-10,121
1999-05-11,121
1999-05-12,121
1999-05-13,121
1999-05-14,121
1999-05-15,121
1999-05-16,121
1999-05-17,121
1999-05-18,121
1999-05-19,121
1999-05-20,118
1999-05-21,112
1999-05-22,106
1999-05-23,106
1999-05-24,106
1999-05-25,106
1999-05-26,106
1999-05-27,106
1999-05-28,106
1999-05-29,105
