date,flow_cfs
1998-10-01,34
1998-10-02,32
1998-10-03,30
1998-10-04,29
1998-10-05,28
1998-10-06,27
1998-10-07,25
1998-10-08,27
1998-10-09,53
1998-10-10,57
1998-10-11,58
1998-10-12,57
1998-10-13,57
1998-10-14,56
1998-10-15,53
1998-10-16,50
1998-10-17,44
1998-10-18,33
1998-10-19,31
1998-10-20,29
1998-10-21,28
1998-10-22,28
1998-10-23,28
1998-10-24,27
1998-10-25,27
1998-10-26,27
1998-10-27,28
1998-10-28,28
1998-10-29,28
1998-10-30,28
1998-10-31,29
1998-11-01,29
1998-11-02,28
1998-11-03,34
1998-11-04,86
1998-11-05,87
1998-11-06,86
1998-11-07,87
1998-11-08,87
1998-11-09,88
1998-11-10,89
1998-11-11,88
1998-11-12,88
1998-11-13,88
1998-11-14,90
1998-11-15,90
1998-11-16,86
1998-11-17,31
1998-11-18,29
1998-11-19,27
1998-11-20,25
1998-11-21,24
1998-11-22,23
1998-11-23,23
1998-11-24,23
1998-11-25,23
1998-11-26,23
1998-11-27,24
1998-11-28,24
1998-11-29,23
1998-11-30,22
1998-12-01,19
1998-12-02,15
1998-12-03,14
1998-12-04,11
1998-12-05,10
1998-12-06,9
1998-12-07,8
1998-12-08,8
1998-12-09,95
1998-12-10,97
1998-12-11,97
1998-12-12,95
1998-12-13,91
1998-12-14,89
1998-12-15,88
1998-12-16,87
1998-12-17,85
1998-12-18,84
1998-12-19,71
1998-12-20,55
1998-12-21,45
1998-12-22,40
1998-12-23,36
1998-12-24,33
1998-12-25,31
1998-12-26,29
1998-12-27,28
1998-12-28,27
1998-12-29,29
1998-12-30,31
1998-12-31,32
1999-01-01,32
1999-01-02,32
1999-01-03,49
1999-01-04,79
1999-01-05,82
1999-01-06,79
1999-01-07,78
1999-01-08,79
1999-01-09,97
1999-01-10,103
1999-01-11,110
1999-01-12,115
1999-01-13,130
1999-01-14,135
1999-01-15,147
1999-01-16,147
1999-01-17,135
1999-01-18,166
1999-01-19,222
1999-01-20,347
1999-01-21,316
1999-01-22,344
1999-01-23,782
1999-01-24,1020
1999-01-25,1242
1999-01-26,1012
1999-01-27,696
1999-01-28,511
1999-01-29,411
1999-01-30,380
1999-01-31,357
1999-02-01,349
1999-02-02,330
1999-02-03,329
1999-02-04,319
1999-02-05,302
1999-02-06,261
1999-02-07,242
1999-02-08,230
1999-02-09,220
1999-02-10,204
1999-02-11,197
1999-02-12,179
1999-02-13,167
1999-02-14,160
1999-02-15,157
1999-02-16,151
1999-02-17,131
1999-02-18,151
1999-02-19,160
1999-02-20,157
1999-02-21,153
1999-02-22,150
1999-02-23,145
1999-02-24,145
1999-02-25,131
1999-02-26,154
1999-02-27,156
1999-02-28,160
1999-03-01,160
1999-03-02,169
1999-03-03,171
1999-03-04,185
1999-03-05,331
1999-03-06,287
1999-03-07,241
1999-03-08,210
1999-03-09,174
1999-03-10,174
1999-03-11,174
1999-03-12,175
1999-03-13,214
1999-03-14,269
1999-03-15,964
1999-03-16,1432
1999-03-17,1240
1999-03-18,948
1999-03-19,715
1999-03-20,508
1999-03-21,424
1999-03-22,488
1999-03-23,626
1999-03-24,601
1999-03-25,500
1999-03-26,433
1999-03-27,402
1999-03-28,383
1999-03-29,365
1999-03-30,346
1999-03-31,331
1999-04-01,317
1999-04-02,318
1999-04-03,310
1999-04-04,306
1999-04-05,299
1999-04-06,288
1999-04-07,281
1999-04-08,265
1999-04-09,255
1999-04-10,257
1999-04-11,256
1999-04-12,258
1999-04-13,258
1999-04-14,253
1999-04-15,248
1999-04-16,238
1999-04-17,235
1999-04-18,233
1999-04-19,231
1999-04-20,226
1999-04-21,216
1999-04-22,215
1999-04-23,210
1999-04-24,208
1999-04-25,207
1999-04-26,195
1999-04-27,187
1999-04-28,185
1999-04-29,185
1999-04-30,183
1999-05-01,161
1999-05-02,155
1999-05-03,149
1999-05-04,144
1999-05-05,136
1999-05-06,128
1999-05-07,121
1999-05-08,151
1999-05-09,196
1999-05-10,196
1999-05-11,185
1999-05-12,180
1999-05-13,142
1999-05-14,135
1999-05-15,136
1999-05-16,137
1999-05-17,133
1999-05-18,128
1999-05-19,122
1999-05-20,118
1999-05-21,112
1999-05-22,106
1999-05-23,147
1999-05-24,176
1999-05-25,176
1999-05-26,167
1999-05-27,125
1999-05-28,110
