date,flow_cfs
1998-10-01,35
1998-10-02,32
1998-10-03,30
1998-10-04,29
1998-10-05,28
1998-10-06,28
1998-10-07,26
1998-10-08,26
1998-10-09,26
1998-10-10,26
1998-10-11,26
1998-10-12,26
1998-10-13,26
1998-10-14,26
1998-10-15,26
1998-10-16,26
1998-10-17,26
1998-10-18,26
1998-10-19,26
1998-10-20,26
1998-10-21,26
1998-10-22,26
1998-10-23,26
1998-10-24,26
1998-10-25,26
1998-10-26,26
1998-10-27,26
1998-10-28,26
1998-10-29,26
1998-10-30,26
1998-10-31,26
1998-11-01,26
1998-11-02,26
1998-11-03,26
1998-11-04,26
1998-11-05,26
1998-11-06,34
1998-11-07,34
1998-11-08,34
1998-11-09,34
1998-11-10,34
1998-11-11,34
1998-11-12,34
1998-11-13,34
1998-11-14,34
1998-11-15,31
1998-11-16,29
1998-11-17,27
1998-11-18,26
1998-11-19,24
1998-11-20,23
1998-11-21,22
1998-11-22,22
1998-11-23,22
1998-11-24,22
1998-11-25,22
1998-11-26,22
1998-11-27,22
1998-11-28,22
1998-11-29,22
1998-11-30,22
1998-12-01,19
1998-12-02,15
1998-12-03,13
1998-12-04,11
1998-12-05,10
1998-12-06,9
1998-12-07,8
1998-12-08,8
1998-12-09,8
1998-12-10,8
1998-12-11,8
1998-12-12,8
1998-12-13,8
1998-12-14,8
1998-12-15,8
1998-12-16,8
1998-12-17,8
1998-12-18,8
1998-12-19,8
1998-12-20,8
1998-12-21,8
1998-12-22,8
1998-12-23,8
1998-12-24,8
1998-12-25,8
1998-12-26,8
1998-12-27,8
1998-12-28,8
1998-12-29,8
1998-12-30,8
1998-12-31,8
1999-01-01,8
1999-01-02,8
1999-01-03,8
1999-01-04,8
1999-01-05,8
1999-01-06,8
1999-01-07,18
1999-01-08,18
1999-01-09,18
1999-01-10,18
1999-01-11,18
1999-01-12,18
1999-01-13,18
1999-01-14,18
1999-01-15,18
1999-01-16,18
1999-01-17,18
1999-01-18,18
1999-01-19,18
1999-01-20,18
1999-01-21,18
1999-01-22,18
1999-01-23,18
1999-01-24,18
1999-01-25,18
1999-01-26,18
1999-01-27,18
1999-01-28,19
1999-01-29,20
1999-01-30,22
1999-01-31,22
1999-02-01,33
1999-02-02,40
1999-02-03,40
1999-02-04,40
1999-02-05,40
1999-02-06,41
1999-02-07,92
1999-02-08,100
1999-02-09,102
1999-02-10,102
1999-02-11,104
1999-02-12,108
1999-02-13,130
1999-02-14,130
1999-02-15,130
1999-02-16,150
1999-02-17,150
1999-02-18,150
1999-02-19,150
1999-02-20,150
1999-02-21,150
1999-02-22,150
1999-02-23,145
1999-02-24,145
1999-02-25,145
1999-02-26,145
1999-02-27,145
1999-02-28,145
1999-03-01,145
1999-03-02,145
1999-03-03,145
1999-03-04,145
1999-03-05,145
1999-03-06,145
1999-03-07,145
1999-03-08,145
1999-03-09,145
1999-03-10,145
1999-03-11,145
1999-03-12,145
1999-03-13,145
1999-03-14,145
1999-03-15,145
1999-03-16,145
1999-03-17,145
1999-03-18,145
1999-03-19,145
1999-03-20,145
1999-03-21,145
1999-03-22,145
1999-03-23,145
1999-03-24,145
1999-03-25,145
1999-03-26,152
1999-03-27,154
1999-03-28,156
1999-03-29,160
1999-03-30,160
1999-03-31,169
1999-04-01,171
1999-04-02,174
1999-04-03,174
1999-04-04,174
1999-04-05,174
1999-04-06,174
1999-04-07,174
1999-04-08,174
1999-04-09,174
1999-04-10,174
1999-04-11,203
1999-04-12,242
1999-04-13,242
1999-04-14,242
1999-04-15,242
1999-04-16,235
1999-04-17,235
1999-04-18,231
1999-04-19,226
1999-04-20,217
1999-04-21,215
1999-04-22,210
1999-04-23,208
1999-04-24,203
1999-04-25,203
1999-04-26,195
1999-04-27,187
1999-04-28,185
1999-04-29,185
1999-04-30,183
1999-05-01,160
1999-05-02,153
1999-05-03,147
1999-05-04,141
1999-05-05,134
1999-05-06,127
1999-05-07,121
1999-05-08,121
1999-05-09,121
1999-05-10,121
1999-05-11,121
1999-05-12,121
1999-05-13,121
1999-05-14,121
1999-05-15,121
1999-05-16,121
1999-05-17,121
1999-05-18,121
1999-05-19,121
1999-05-20,120
1999-05-21,114
1999-05-22,108
1999-05-23,108
1999-05-24,108
1999-05-25,108
1999-05-26,108
1999-05-27,108
1999-05-28,108
1999-05-29,105
1999-05-30,105
1999-05-31,88
1999-06-01,86
1999-06-02,78
1999-06-03,78
1999-06-04,78
1999-06-05,78
1999-06-06,73
1999-06-07,67
1999-06-08,61
1999-06-09,55
1999-06-10,51
1999-06-11,46
1999-06-12,43
1999-06-13,40
1999-06-14,37
1999-06-15,36
1999-06-16,33
1999-06-17,33
1999-06-18,33
1999-06-19,33
1999-06-20,33
1999-06-21,33
1999-06-22,33
1999-06-23,33
1999-06-24,33
1999-06-25,33
1999-06-26,33
1999-06-27,31
1999-06-28,28
1999-06-29,26
1999-06-30,24
1999-07-01,22
1999-07-02,20
1999-07-03,20
1999-07-04,20
1999-07-05,20
1999-07-06,20
1999-07-07,20
1999-07-08,20
1999-07-09,20
1999-07-10,20
1999-07-11,20
1999-07-12,16
1999-07-13,16
1999-07-14,16
1999-07-15,16
1999-07-16,15
1999-07-17,13
1999-07-18,12
1999-07-19,11
1999-07-20,9
1999-07-21,8
1999-07-22,8
1999-07-23,8
1999-07-24,8
1999-07-25,8
1999-07-26,8
1999-07-27,8
1999-07-28,8
1999-07-29,8
1999-07-30,8
1999-07-31,8
1999-08-01,8
1999-08-02,8
1999-08-03,8
1999-08-04,8
1999-08-05,8
1999-08-06,8
1999-08-07,8
1999-08-08,8
1999-08-09,8
1999-08-10,8
1999-08-11,8
1999-08-12,8
1999-08-13,8
1999-08-14,8
1999-08-15,8
1999-08-16,8
1999-08-17,8
1999-08-18,8
1999-08-19,8
1999-08-20,13
1999-08-21,13
1999-08-22,13
1999-08-23,13
1999-08-24,13
1999-08-25,13
1999-08-26,13
1999-08-27,13
1999-08-28,13
1999-08-29,13
1999-08-30,13
1999-08-31,13
1999-09-01,13
1999-09-02,13
1999-09-03,13
1999-09-04,13
1999-09-05,13
1999-09-06,13
1999-09-07,13
1999-09-08,13
1999-09-09,13
1999-09-10,13
1999-09-11,13
1999-09-12,14
1999-09-13,18
1999-09-14,18
1999-09-15,18
1999-09-16,18
1999-09-17,18
1999-09-18,18
1999-09-19,18
1999-09-20,18
1999-09-21,18
1999-09-22,18
1999-09-23,18
1999-09-24,18
1999-09-25,18
1999-09-26,18
1999-09-27,18
1999-09-28,18
1999-09-29,18
1999-09-30,18
1999-10-01,18
1999-10-02,18
1999-10-03,18
1999-10-04,74
1999-10-05,191
1999-10-06,191
1999-10-07,191
1999-10-08,191
1999-10-09,191
1999-10-10,191
1999-10-11,191
1999-10-12,191
1999-10-13,191
1999-10-14,191
1999-10-15,205
1999-10-16,205
1999-10-17,205
1999-10-18,205
1999-10-19,205
1999-10-20,212
1999-10-21,212
1999-10-22,212
1999-10-23,212
1999-10-24,212
1999-10-25,212
1999-10-26,212
1999-10-27,209
1999-10-28,200
1999-10-29,196
1999-10-30,191
1999-10-31,183
1999-11-01,175
1999-11-02,172
1999-11-03,172
1999-11-04,172
1999-11-05,172
1999-11-06,172
1999-11-07,172
1999-11-08,172
1999-11-09,172
1999-11-10,172
1999-11-11,172
1999-11-12,172
1999-11-13,167
1999-11-14,164
1999-11-15,154
1999-11-16,150
1999-11-17,146
1999-11-18,144
1999-11-19,141
1999-11-20,139
1999-11-21,135
1999-11-22,130
1999-11-23,127
1999-11-24,124
1999-11-25,121
1999-11-26,121
1999-11-27,121
1999-11-28,121
1999-11-29,121
1999-11-30,121
1999-12-01,118
1999-12-02,118
1999-12-03,116
1999-12-04,115
1999-12-05,115
1999-12-06,113
1999-12-07,110
1999-12-08,108
1999-12-09,107
1999-12-10,104
1999-12-11,104
1999-12-12,104
1999-12-13,104
1999-12-14,104
1999-12-15,104
1999-12-16,104
1999-12-17,104
1999-12-18,104
1999-12-19,104
1999-12-20,104
1999-12-21,104
1999-12-22,104
1999-12-23,104
1999-12-24,104
1999-12-25,104
1999-12-26,104
1999-12-27,104
1999-12-28,104
1999-12-29,104
1999-12-30,104
1999-12-31,104
