date,flow_cfs
1998-10-01,35
1998-10-02,32
1998-10-03,30
1998-10-04,29
1998-10-05,28
1998-10-06,28
1998-10-07,26
1998-10-08,50
1998-10-09,70
1998-10-10,82
1998-10-11,82
1998-10-12,81
1998-10-13,79
1998-10-14,74
1998-10-15,73
1998-10-16,68
1998-10-17,64
1998-10-18,63
1998-10-19,61
1998-10-20,60
1998-10-21,60
1998-10-22,60
1998-10-23,50
1998-10-24,53
1998-10-25,36
1998-10-26,37
1998-10-27,38
1998-10-28,37
1998-10-29,36
1998-10-30,37
1998-10-31,37
1998-11-01,36
1998-11-02,34
1998-11-03,35
1998-11-04,83
1998-11-05,86
1998-11-06,86
1998-11-07,87
1998-11-08,87
1998-11-09,88
1998-11-10,89
1998-11-11,87
1998-11-12,87
1998-11-13,86
1998-11-14,85
1998-11-15,31
1998-11-16,29
1998-11-17,27
1998-11-18,26
1998-11-19,24
1998-11-20,23
1998-11-21,22
1998-11-22,22
1998-11-23,22
1998-11-24,22
1998-11-25,22
1998-11-26,23
1998-11-27,23
1998-11-28,23
1998-11-29,23
1998-11-30,22
1998-12-01,19
1998-12-02,15
1998-12-03,13
1998-12-04,11
1998-12-05,10
1998-12-06,9
1998-12-07,8
1998-12-08,8
1998-12-09,95
1998-12-10,92
1998-12-11,89
1998-12-12,87
1998-12-13,84
1998-12-14,84
1998-12-15,85
1998-12-16,84
1998-12-17,81
1998-12-18,71
1998-12-19,43
1998-12-20,37
1998-12-21,30
1998-12-22,27
1998-12-23,25
1998-12-24,23
1998-12-25,21
1998-12-26,20
1998-12-27,19
1998-12-28,18
1998-12-29,18
1998-12-30,19
1998-12-31,20
1999-01-01,22
1999-01-02,22
1999-01-03,33
1999-01-04,44
1999-01-05,46
1999-01-06,44
1999-01-07,40
1999-01-08,41
1999-01-09,92
1999-01-10,100
1999-01-11,102
1999-01-12,102
1999-01-13,104
1999-01-14,108
1999-01-15,130
1999-01-16,130
1999-01-17,130
1999-01-18,150
1999-01-19,218
1999-01-20,345
1999-01-21,307
1999-01-22,287
1999-01-23,522
1999-01-24,893
1999-01-25,1307
1999-01-26,1102
1999-01-27,752
1999-01-28,528
1999-01-29,418
1999-01-30,380
1999-01-31,360
1999-02-01,349
1999-02-02,330
1999-02-03,329
1999-02-04,319
1999-02-05,302
1999-02-06,261
1999-02-07,242
1999-02-08,231
1999-02-09,220
1999-02-10,219
1999-02-11,198
1999-02-12,181
1999-02-13,170
1999-02-14,166
1999-02-15,160
1999-02-16,156
1999-02-17,150
1999-02-18,157
1999-02-19,160
1999-02-20,160
1999-02-21,154
1999-02-22,150
1999-02-23,145
1999-02-24,145
1999-02-25,152
1999-02-26,154
1999-02-27,156
1999-02-28,160
1999-03-01,160
1999-03-02,169
1999-03-03,171
1999-03-04,175
1999-03-05,268
1999-03-06,263
1999-03-07,230
1999-03-08,204
1999-03-09,174
1999-03-10,174
1999-03-11,174
1999-03-12,174
1999-03-13,203
1999-03-14,255
1999-03-15,631
1999-03-16,1093
1999-03-17,969
1999-03-18,802
1999-03-19,559
1999-03-20,424
1999-03-21,377
1999-03-22,412
1999-03-23,467
1999-03-24,464
1999-03-25,412
1999-03-26,383
1999-03-27,365
1999-03-28,348
1999-03-29,320
1999-03-30,315
1999-03-31,309
1999-04-01,306
1999-04-02,309
1999-04-03,306
1999-04-04,299
1999-04-05,288
1999-04-06,282
1999-04-07,263
1999-04-08,251
1999-04-09,242
1999-04-10,251
1999-04-11,249
1999-04-12,256
1999-04-13,255
1999-04-14,251
1999-04-15,242
1999-04-16,235
1999-04-17,235
1999-04-18,231
1999-04-19,226
1999-04-20,217
1999-04-21,215
1999-04-22,210
1999-04-23,208
1999-04-24,203
1999-04-25,207
1999-04-26,195
1999-04-27,187
1999-04-28,185
1999-04-29,185
1999-04-30,183
1999-05-01,160
1999-05-02,153
1999-05-03,147
1999-05-04,141
1999-05-05,134
1999-05-06,127
1999-05-07,121
1999-05-08,153
1999-05-09,196
1999-05-10,196
1999-05-11,187
1999-05-12,180
1999-05-13,143
1999-05-14,136
1999-05-15,138
1999-05-16,140
1999-05-17,137
1999-05-18,130
1999-05-19,124
1999-05-20,120
1999-05-21,114
1999-05-22,108
1999-05-23,154
1999-05-24,185
1999-05-25,179
1999-05-26,176
1999-05-27,167
1999-05-28,125
1999-05-29,105
1999-05-30,105
1999-05-31,88
1999-06-01,86
1999-06-02,78
1999-06-03,94
1999-06-04,87
1999-06-05,82
1999-06-06,73
1999-06-07,67
1999-06-08,61
1999-06-09,55
1999-06-10,51
1999-06-11,46
1999-06-12,43
1999-06-13,40
1999-06-14,37
1999-06-15,36
1999-06-16,33
1999-06-17,33
1999-06-18,47
1999-06-19,65
1999-06-20,66
1999-06-21,66
1999-06-22,66
1999-06-23,65
1999-06-24,40
1999-06-25,37
1999-06-26,34
1999-06-27,31
1999-06-28,28
1999-06-29,26
1999-06-30,24
1999-07-01,22
1999-07-02,20
1999-07-03,28
1999-07-04,52
1999-07-05,32
1999-07-06,28
1999-07-07,24
1999-07-08,51
1999-07-09,50
1999-07-10,50
1999-07-11,50
1999-07-12,16
1999-07-13,16
1999-07-14,16
1999-07-15,16
1999-07-16,15
1999-07-17,13
1999-07-18,12
1999-07-19,11
1999-07-20,9
1999-07-21,8
1999-07-22,52
1999-07-23,55
1999-07-24,55
1999-07-25,54
1999-07-26,54
1999-07-27,54
1999-07-28,54
1999-07-29,54
1999-07-30,55
1999-07-31,55
1999-08-01,55
1999-08-02,55
1999-08-03,55
1999-08-04,55
1999-08-05,54
1999-08-06,53
1999-08-07,53
1999-08-08,19
1999-08-09,18
1999-08-10,17
1999-08-11,15
1999-08-12,14
1999-08-13,13
1999-08-14,14
1999-08-15,27
1999-08-16,54
1999-08-17,55
1999-08-18,55
1999-08-19,53
1999-08-20,53
1999-08-21,53
1999-08-22,55
1999-08-23,55
1999-08-24,55
1999-08-25,36
1999-08-26,60
1999-08-27,61
1999-08-28,63
1999-08-29,63
1999-08-30,38
1999-08-31,32
1999-09-01,28
1999-09-02,24
1999-09-03,21
1999-09-04,18
1999-09-05,74
1999-09-06,599
1999-09-07,1290
1999-09-08,1058
1999-09-09,654
1999-09-10,554
1999-09-11,434
1999-09-12,348
1999-09-13,232
1999-09-14,204
1999-09-15,191
1999-09-16,205
1999-09-17,332
1999-09-18,323
1999-09-19,228
1999-09-20,205
1999-09-21,221
1999-09-22,308
1999-09-23,325
1999-09-24,296
1999-09-25,269
1999-09-26,222
1999-09-27,212
1999-09-28,213
1999-09-29,212
1999-09-30,819
1999-10-01,1101
1999-10-02,1061
1999-10-03,826
1999-10-04,673
1999-10-05,673
1999-10-06,654
1999-10-07,549
1999-10-08,470
1999-10-09,400
1999-10-10,387
1999-10-11,406
1999-10-12,402
1999-10-13,387
1999-10-14,337
1999-10-15,317
1999-10-16,285
1999-10-17,266
1999-10-18,251
1999-10-19,242
1999-10-20,228
1999-10-21,250
1999-10-22,251
1999-10-23,247
1999-10-24,246
1999-10-25,223
1999-10-26,219
1999-10-27,209
1999-10-28,200
1999-10-29,196
1999-10-30,191
1999-10-31,183
1999-11-01,175
1999-11-02,172
1999-11-03,180
1999-11-04,206
1999-11-05,214
1999-11-06,215
1999-11-07,212
1999-11-08,207
1999-11-09,206
1999-11-10,198
1999-11-11,192
1999-11-12,179
1999-11-13,167
1999-11-14,164
1999-11-15,154
1999-11-16,150
1999-11-17,146
1999-11-18,144
1999-11-19,141
1999-11-20,139
1999-11-21,135
1999-11-22,130
1999-11-23,127
1999-11-24,124
1999-11-25,121
1999-11-26,121
1999-11-27,123
1999-11-28,124
1999-11-29,124
1999-11-30,122
1999-12-01,118
1999-12-02,118
1999-12-03,116
1999-12-04,115
1999-12-05,115
1999-12-06,113
1999-12-07,110
1999-12-08,108
1999-12-09,107
1999-12-10,104
1999-12-11,107
1999-12-12,110
1999-12-13,107
1999-12-14,140
1999-12-15,175
1999-12-16,189
1999-12-17,189
1999-12-18,189
1999-12-19,182
1999-12-20,181
1999-12-21,181
1999-12-22,178
1999-12-23,175
1999-12-24,171
1999-12-25,169
1999-12-26,165
1999-12-27,162
1999-12-28,156
1999-12-29,150
1999-12-30,148
1999-12-31,147
