"","date_time","lfalls_nat","por_nat","demand","lfalls_adj","lfalls_obs","lfalls_obs_fc9","sen_outflow","jrr_outflow","jrr_outflow_lagged"
"1",1930-01-01,12027,9971.38,469,12166,11697,NA,10,300,129
"2",1930-01-03,11809,7353.16,450,11948,11498,11486,10,120,129
"3",1930-01-04,10063,6606.16,442,10202,9760,9760.98,10,135.98,129
"4",1930-01-05,8604,6048.5,451,8743,8292,8489.4,10,334.4,129
"5",1930-01-06,7710,5628.6,425,7849,7424,7587.73,10,324.73,129
"6",1930-01-07,7119,5026.42,428,7258,6830,6986.68,10,318.68,129
"7",1930-01-08,6726,4616.64,443,6865,6422,6580.31,10,296.309999999999,129
"8",1930-01-09,6110,4273.63,445,6249,5804,5977.01,10,309.01,129
"9",1930-01-10,5661,4213.8,448,5800,5352,5518.98,10,305.98,129
"10",1930-01-11,5218,3869.02,441,5528,5087,5053.07,10,266.07,300
"11",1930-01-12,5093,3706.87,453,5223,4770,4903.16,10,252.16,120
"12",1930-01-13,4831,3665.21,448,4976.98,4528.98,4688.12,10,272.120000000001,135.98
"13",1930-01-14,5098,3314.29,459,5442.4,4983.4,4932.3,10,244.299999999999,334.4
"14",1930-01-15,6236,3835.46,457,6570.73,6113.73,6045.18,10,229.18,324.73
"15",1930-01-16,5109,3978.2,461,5437.68,4976.68,4900.44,10,210.440000000001,318.68
"16",1930-01-17,5227,3623.64,452,5533.31,5081.31,4988.76,10,174.76,296.309999999999
"17",1930-01-18,5096,3521.98,452,5415.01,4963.01,4859.71,10,168.709999999999,309.01
"18",1930-01-19,4420,3284.15,458,4735.98,4277.98,4110,10,120,305.98
"19",1930-01-20,4106,2761.04,441,4382.07,3941.07,3798,10,120,266.07
"20",1930-01-21,3805,2418.9,452,4067.16,3615.16,3493,10,120,252.16
"21",1930-01-22,3292,2694.28,425,3574.12,3149.12,2981,10,120,272.120000000001
"22",1930-01-23,2965,2863.97,420,3219.3,2799.3,2675,10,120,244.299999999999
"23",1930-01-24,3202,2572.78,430,3441.18,3011.18,2890,10,120,229.18
"24",1930-01-25,3397,2663.72,429,3617.44,3188.44,3075,10,120,210.440000000001
"25",1930-01-26,3102,2707.67,423,3286.76,2863.76,2784,10,120,174.76
"26",1930-01-27,3197,2974.41,415,3375.71,2960.71,2885,10,120,168.709999999999
"27",1930-01-28,3245,2618.51,440,3375,2935,2947,10,120,120
"28",1930-01-29,3516,2683.14,438,3646,3208,3204,10,120,120
"29",1930-01-30,3143,2592.65,442,3273,2831,2841,10,120,120
"30",1930-01-31,3199,2353.52,441,3329,2888,2886,10,120,120
"31",1930-02-01,3289,2314.74,420,3419,2999,2979,10,120,120
"32",1930-02-02,3055,2463.39,442,3185,2743,2743,10,120,120
"33",1930-02-03,3047,2844.72,452,3177,2725,2727,10,120,120
"34",1930-02-04,4073,3394.09,448,4203,3755,3762,10,120,120
"35",1930-02-05,8378,6496.41,442,8508,8066,8075,10,120,120
"36",1930-02-06,9087,13541.26,428,9217,8789,8770,10,120,120
"37",1930-02-07,9218,13535.26,442,9348,8906,8947.73000000001,10,149.730000000007,120
"38",1930-02-08,15702,10485.15,432,15832,15400,15550.61,10,257.610000000001,120
"39",1930-02-09,15402,8529.59,443,15532,15089,15195.21,10,206.209999999999,120
