"","date_time","storage","inflow","withdr","outflow","withdr_req","rel_req","available"
"1",1930-01-01,8000,324.15,70,254.15,70,0,8254.15
"2",1930-01-02,8000,236.71,0,236.709999999999,0,0,8236.71
"3",1930-01-03,8000,236.71,60,176.709999999999,60,0,8176.71
"4",1930-01-04,8000,229.9,60,169.9,60,0,8169.9
"5",1930-01-05,8000,194.88,60,134.879999999999,60,0,8134.88
"6",1930-01-06,8000,194.88,60,134.879999999999,60,0,8134.88
"7",1930-01-07,8000,194.88,60,134.879999999999,60,0,8134.88
"8",1930-01-08,8000,194.88,60,134.879999999999,60,0,8134.88
"9",1930-01-09,8000,183.27,60,123.27,60,0,8123.27
"10",1930-01-10,8000,183.27,60,123.27,60,0,8123.27
"11",1930-01-11,8000,161.13,60,101.13,60,0,8101.13
"12",1930-01-12,8000,172.19,60,112.19,60,0,8112.19
"13",1930-01-13,8000,172.19,60,112.19,60,0,8112.19
"14",1930-01-14,8000,183.27,60,123.27,60,0,8123.27
"15",1930-01-15,8000,236.71,60,176.709999999999,60,0,8176.71
"16",1930-01-16,8000,206.53,60,146.530000000001,60,0,8146.53
"17",1930-01-17,8000,194.88,60,134.879999999999,60,0,8134.88
"18",1930-01-18,8000,194.88,60,134.879999999999,60,0,8134.88
"19",1930-01-19,8000,120.15,60,60.1499999999996,60,0,8060.15
"20",1930-01-20,8000,101.28,60,41.2799999999997,60,0,8041.28
"21",1930-01-21,8000,101.28,60,41.2799999999997,60,0,8041.28
"22",1930-01-22,8000,194.88,60,134.879999999999,60,0,8134.88
"23",1930-01-23,8000,183.27,60,123.27,60,0,8123.27
"24",1930-01-24,8000,183.27,60,123.27,60,0,8123.27
"25",1930-01-25,8000,183.27,60,123.27,60,0,8123.27
"26",1930-01-26,8000,161.13,60,101.13,60,0,8101.13
"27",1930-01-27,8000,161.13,60,101.13,60,0,8101.13
"28",1930-01-28,8000,161.13,60,101.13,60,0,8101.13
"29",1930-01-29,8000,161.13,60,101.13,60,0,8101.13
"30",1930-01-30,8000,140.09,60,80.0900000000001,60,0,8080.09
"31",1930-01-31,8000,206.53,60,146.530000000001,60,0,8146.53
"32",1930-02-01,8000,195.35,60,135.35,60,0,8135.35
"33",1930-02-02,8000,216.04,60,156.040000000001,60,0,8156.04
"34",1930-02-03,8000,216.04,60,156.040000000001,60,0,8156.04
"35",1930-02-04,8000,1156.17,60,1096.17,60,0,9096.17
"36",1930-02-05,8000,2543.1,60,2483.1,60,0,10483.1
"37",1930-02-06,8000,1322.56,60,1262.56,60,0,9262.56
"38",1930-02-07,8000,1044.56,60,984.559999999999,60,0,8984.56
"39",1930-02-08,8000,511.19,60,451.190000000001,60,0,8451.19
"40",1930-02-09,8000,370.22,60,310.219999999999,60,0,8310.22
"41",1930-02-10,8000,279.64,60,219.639999999999,60,0,8219.64
"42",1930-02-11,8000,236.71,60,176.709999999999,60,0,8176.71
"43",1930-02-12,8000,195.35,60,135.35,60,0,8135.35
"44",1930-02-13,8000,236.71,60,176.709999999999,60,0,8176.71
"45",1930-02-14,8000,279.64,60,219.639999999999,60,0,8219.64
"46",1930-02-15,8000,216.04,60,156.040000000001,60,0,8156.04
"47",1930-02-16,8000,183.27,60,123.27,60,0,8123.27
"48",1930-02-17,8000,218.2,60,158.200000000001,60,0,8158.2
"49",1930-02-18,8000,216.04,60,156.040000000001,60,0,8156.04
"50",1930-02-19,8000,229.9,60,169.9,60,0,8169.9
"51",1930-02-20,8000,218.2,60,158.200000000001,60,0,8158.2
"52",1930-02-21,8000,206.53,60,146.530000000001,60,0,8146.53
"53",1930-02-22,8000,183.27,60,123.27,60,0,8123.27
"54",1930-02-23,8000,183.27,60,123.27,60,0,8123.27
"55",1930-02-24,8000,183.27,60,123.27,60,0,8123.27
"56",1930-02-25,8000,183.27,60,123.27,60,0,8123.27
"57",1930-02-26,8000,172.19,60,112.19,60,0,8112.19
"58",1930-02-27,8000,150.6,60,90.6000000000004,60,0,8090.6
"59",1930-02-28,8000,140.09,60,80.0900000000001,60,0,8080.09
"60",1930-03-01,8000,120.15,60,60.1499999999996,60,0,8060.15
"61",1930-03-02,8000,140.09,60,80.0900000000001,60,0,8080.09
"62",1930-03-03,8000,140.09,60,80.0900000000001,60,0,8080.09
"63",1930-03-04,8000,120.15,60,60.1499999999996,60,0,8060.15
"64",1930-03-05,8000,120.15,60,60.1499999999996,60,0,8060.15
"65",1930-03-06,8000,130.11,60,70.1099999999997,60,0,8070.11
"66",1930-03-07,8000,242.13,60,182.129999999999,60,0,8182.13
"67",1930-03-08,8000,3461.01,60,3401.01,60,0,11401.01
"68",1930-03-09,8000,1448.52,60,1388.52,60,0,9388.52
"69",1930-03-10,8000,706.53,60,646.530000000001,60,0,8646.53
"70",1930-03-11,8000,609.06,60,549.059999999999,60,0,8549.06
"71",1930-03-12,8000,511.19,60,451.190000000001,60,0,8451.19
"72",1930-03-13,8000,370.22,60,310.219999999999,60,0,8310.22
"73",1930-03-14,8000,324.15,60,264.15,60,0,8264.15
"74",1930-03-15,8000,236.71,60,176.709999999999,60,0,8176.71
"75",1930-03-16,8000,195.35,60,135.35,60,0,8135.35
"76",1930-03-17,8000,195.35,60,135.35,60,0,8135.35
"77",1930-03-18,8000,229.9,60,169.9,60,0,8169.9
"78",1930-03-19,8000,218.2,60,158.200000000001,60,0,8158.2
"79",1930-03-20,8000,218.2,60,158.200000000001,60,0,8158.2
"80",1930-03-21,8000,194.88,60,134.879999999999,60,0,8134.88
"81",1930-03-22,8000,194.88,60,134.879999999999,60,0,8134.88
"82",1930-03-23,8000,183.27,60,123.27,60,0,8123.27
"83",1930-03-24,8000,161.13,60,101.13,60,0,8101.13
"84",1930-03-25,8000,172.19,60,112.19,60,0,8112.19
"85",1930-03-26,8000,183.27,60,123.27,60,0,8123.27
"86",1930-03-27,8000,183.27,60,123.27,60,0,8123.27
"87",1930-03-28,8000,161.13,60,101.13,60,0,8101.13
"88",1930-03-29,8000,150.6,60,90.6000000000004,60,0,8090.6
"89",1930-03-30,8000,150.6,60,90.6000000000004,60,0,8090.6
"90",1930-03-31,8000,140.09,60,80.0900000000001,60,0,8080.09
"91",1930-04-01,8000,120.15,60,60.1499999999996,60,0,8060.15
"92",1930-04-02,8000,101.28,60,41.2799999999997,60,0,8041.28
"93",1930-04-03,8000,101.28,60,41.2799999999997,60,0,8041.28
"94",1930-04-04,8000,161.13,60,101.13,60,0,8101.13
